Name,Credential Type,Credential Number,Status,Expiration Date,Disciplinary Action,Address,,State,County,Phone#,First Issue Date,Primary Contact Name,Primary Contact Role
SUNSHINE ACADEMY PRE-SCHOOL,CENTER,1106-22,Active,11/30/2023,N,"150 N. WILLOW ST MESQUITE, NV 89027",,NV,CLARK,346-393-9400,12/1/2013,JANEECE NOEL,Other
SUNRISE CHILDREN'S FOUNDATION EARLY HEAD START - SPRING VALLEY,CENTER,1288-22,Active,10/31/2023,N,"2845 MOHAWK ST LAS VEGAS, NV 89146",,NV,CLARK,362-231-1137,1/1/2017,TANIA & NICOLE PINEDA & POBLETE,Director
BOLD AND BRIGHT ACADEMY LLC,FAMILY CARE,2919-23,Active,6/30/2024,N,"6036 ATLANTIS DREAM AVE LAS VEGAS, NV 89139",,NV,CLARK,417-631-1138,7/1/2020,BETHANY JOHNSON,Owner
DISCOVERY GARDENS CHILDCARE L.L.C.,CENTER (PROVISIONAL),2199-23,Active,7/31/2023,N,"555 PAGE ST LAS VEGAS, NV 89110",,NV,CLARK,503-539-3810,5/18/2017,SHERRITA MYERS,Other
THE LITTLE EXPLORERS LLC,GROUP CARE,2351-23,Active,1/31/2024,N,"470 GYPSUM DRIVE SPRING CREEK, NV 89815",,NV,ELKO,505-488-8895,2/7/2018,KYLA HANNAH,Owner
DEE'S PLAY & LEARN CHRISTIAN ACADEMY,GROUP CARE,2454-23,Active,6/30/2024,N,"6321 LAUREN ASHTON AVENUE LAS VEGAS, NV 89131",,NV,CLARK,510-551-5129,7/9/2018,DEETRA STEWART,Owner
LAKE MEAD CHRISTIAN ACADEMY - EARLY EDUCATION,CENTER,788-22,Active,8/31/2023,N,"540 E. LAKE MEAD PKWY HENDERSON, NV 89015",,NV,CLARK,565-583-1155,10/1/2015,THERESA HEHN,Director
LITTLE SPROUT DAYCARE,GROUP CARE,3646-23,Active,5/31/2024,N,"3135 FLORENTINE DRIVE CARSON CITY, NV 89701",,NV,CARSON CITY,619-746-2485,6/1/2023,MARIA ARREOLA,Owner
PRIMROSE OF LAS VEGAS AT LONE MOUNTAIN,CENTER,3497-22,Active,10/31/2023,N,"3801 N. CAMPBELL RD LAS VEGAS, NV 89129",,NV,CLARK,630-212-9413,11/18/2022,JAINI AND STACY JARIWALA AND SURVIS,Other
PRIMROSE OF LAS VEGAS AT SILVERADO RANCH,CENTER,3496-22,Active,10/31/2023,N,"9975 PLACID ST LAS VEGAS, NV 89135",,NV,CLARK,630-212-9413,11/18/2022,JAINI & SANDRA JARIWALA & CRAMER,Owner
MY LITTLE ANGEL’S  HOME DAYCARE LLC,FAMILY CARE (PROVISIONAL),2907-23,Active,7/31/2023,N,"6044 RIVER BELLE ST NORTH LAS VEGAS, NV 89031",,NV,CLARK,701-301-2241,4/1/2021,ANGEL CHADWICK,Owner
TINY TLC CHILD CARE,GROUP CARE,1930-23,Active,2/28/2024,N,"5909 IRIS AVE LAS VEGAS, NV 89107",,NV,CLARK,702-201-1154,3/22/2016,CHANTAI PETERSON,Owner
