Operation #,Agency Number,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency,Infant,Toddler,Preschool,School
1239246,,"K"" Street Learning Center LLC""",19290 K ST ,SOMERSET,TX,78069,BEXAR,830-429-1010,Licensed Center - Child Care Program,Full Permit,10/13/2011,82,sylvia@kstreetlearningcenter.com,773628,,Y,Y,Y,Y
1730398,,1 on 1 Childcare Academy,11925 GLOGER ST ,HOUSTON,TX,77039,HARRIS,832-295-3525,Licensed Center - Child Care Program,Full Permit,7/1/2022,33,1on1childcareacademy@gmail.com,1391139,,Y,Y,Y,Y
1687698,,1.2..me Kidz,1222 BABCOCK RD ,SAN ANTONIO,TX,78201,BEXAR,210-310-3990,Licensed Center - Child Care Program,Full Permit,3/21/2019,81,kidz1.2me@yahoo.com,1325841,,Y,Y,Y,Y
1660660,,123 Sunshine Academy,15303 E ANTONE CIR ,HOUSTON,TX,77071,HARRIS,281-810-9028,Licensed Child-Care Home,Full Permit,2/1/2018,12,,1287403,,Y,Y,Y,Y
1729615,,123-Abc Learning Center,5418 BAKERSFIELD ST ,SAN ANTONIO,TX,78228,BEXAR,210-385-3663,Licensed Child-Care Home,Full Permit,6/14/2022,12,lorena123abc@aol.com,1390136,,N,Y,Y,Y
976846,,1st Step Early Learning Center,401 FM 685 STE 104,PFLUGERVILLE,TX,78660,TRAVIS,512-251-2276,Licensed Center - Child Care Program,Full Permit,11/4/2009,49,nikkie@1ststepearlylearning.com,455568,,Y,Y,Y,Y
864918,,1st Step University Child Care,1402 STONEHOLLOW DR ,KINGWOOD,TX,77339,HARRIS,281-358-0699,Licensed Center - Child Care Program,Full Permit,2/23/2007,75,,303366,,Y,Y,Y,Y
1523696,,"1st Thing 1st Child Development and Learning Center, LLC",410 E CHURCH AVE ,KILLEEN,TX,76541,BELL,254-634-4600,Licensed Center - Child Care Program,Full Permit,10/7/2013,38,director@1stthing1st.com,1122524,,Y,Y,Y,Y
520954,,1st UMC Parents Day Out,4901 PAIGE RD ,THE COLONY,TX,75056,DENTON,972-625-2459,Licensed Center - Child Care Program,Full Permit,9/25/1996,99,pdo@fumctc.org,145285,,Y,Y,Y,Y
1715677,,2 Bs Childcare and Learning Center,100 E MASON ST ,FORT WORTH,TX,76110,TARRANT,817-841-5755,Licensed Center - Child Care Program,Full Permit,8/3/2021,34,,1368012,,Y,Y,Y,Y
1147066,,2nd Step Daycare & Learning Center,4255 S R L THORNTON FWY ,DALLAS,TX,75224,DALLAS,214-372-2800,Licensed Center - Child Care Program,Full Permit,11/5/2010,198,daycare2ndstep@outlook.com,662108,,Y,Y,Y,Y
1741335,,360 Above Care,7932 GLENWAY DR ,DALLAS,TX,75249,DALLAS,972-804-0412,Licensed Child-Care Home,Full Permit,1/3/2023,12,,1404535,,Y,Y,Y,Y
